PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9000,43,Male,Other,Strategy,16.271.118.760.553.200,0,Medium,6,108,79,25,Medium
9001,29,Female,USA,Strategy,5.525.961.380.570.560,0,Medium,5,144,11,10,Medium
9002,22,Female,USA,Sports,8.223.755.243.499.510,0,Easy,16,142,35,41,High
9003,35,Male,USA,Action,5.265.351.277.318.260,1,Easy,9,85,57,47,Medium
9004,33,Male,Europe,Action,1.553.194.452.113.420,0,Medium,2,131,95,37,Medium
9005,37,Male,Europe,RPG,20.561.855.414.112.500,0,Easy,2,81,74,22,Low
9006,25,Male,USA,Action,9.752.716.365.932.250,0,Hard,1,50,13,2,Low
9007,25,Female,Asia,RPG,4.401.729.344.841.460,0,Medium,10,48,27,23,Medium
9008,38,Female,Europe,Simulation,1.815.273.259.575.480,0,Easy,5,101,23,41,Medium
9009,38,Female,Other,Sports,23.942.771.725.289.500,0,Easy,13,95,99,36,High
9010,17,Male,USA,Strategy,4.829.915.833.543.250,0,Hard,8,95,14,12,High
9011,36,Female,Asia,Simulation,553.598.092.541.321,1,Easy,16,124,62,31,High
9012,16,Male,USA,Sports,18.776.233.805.679.100,1,Easy,9,18,52,32,High
9013,38,Female,USA,Strategy,8.701.959.180.591.400,0,Easy,0,156,33,47,Low
9014,44,Male,USA,Simulation,17.975.200.475.946.300,0,Easy,8,41,98,1,Low
9015,16,Male,Europe,RPG,79.515.113.390.570.500,0,Medium,10,156,58,24,High
9016,35,Male,Asia,Strategy,1.788.789.845.694.820,0,Easy,16,154,62,4,High
9017,47,Male,USA,RPG,17.272.112.901.806.300,0,Medium,2,131,13,9,Low
9018,26,Female,Asia,Action,19.416.078.735.805.600,0,Easy,3,135,77,25,Medium
9019,36,Female,Asia,RPG,193.388.255.215.677,0,Easy,4,56,21,30,Low
9020,39,Female,USA,Sports,17.225.809.816.138.800,0,Easy,2,177,34,37,Medium
9021,41,Female,USA,Sports,1.616.768.979.311.810,0,Easy,18,159,36,33,High
9022,42,Male,USA,Sports,1.044.812.618.560.380,0,Medium,2,120,81,5,Low
